n,std_average,std_worst
217,0.000211958,0.001712542
218,0.000204542,0.001723875
219,0.0002035,0.001679625
220,0.000197875,0.001692333
221,0.000231125,0.001710458
222,0.000202291,0.001733208
223,0.000210208,0.001740334
224,0.0002105,0.001751125
225,0.000209,0.001801041
226,0.000202416,0.001777375
227,0.000209208,0.001805917
228,0.000227625,0.001817208
229,0.000209416,0.001835459
230,0.000214125,0.001846166
231,0.00021975,0.001871459
232,0.000228334,0.001881791
233,0.000232292,0.001893708
234,0.000219,0.001888417
235,0.000210167,0.00190225
236,0.000213167,0.00193475
237,0.0002115,0.001945333
238,0.0002295,0.001950375
239,0.000237875,0.001964083
240,0.000222209,0.001996875
241,0.000219709,0.002007584
242,0.000227292,0.002012291
243,0.000217667,0.00204925
244,0.000216125,0.002046917
245,0.000225458,0.002065042
246,0.000223875,0.002734708
247,0.00024825,0.0080205
248,0.000244333,0.002274958
249,0.000245792,0.00230025
250,0.000234583,0.002332375
251,0.000244458,0.002334209
252,0.0002275,0.002346291
253,0.000244792,0.002382625
254,0.000242833,0.002380917
255,0.000232458,0.002395708
256,0.000237791,0.002424583
257,0.000267417,0.002448
258,0.000233458,0.002456333
259,0.000234209,0.002486833
260,0.000243167,0.002485625
261,0.000244375,0.002507541
262,0.000241958,0.002552208
263,0.000246666,0.002542875
264,0.000262166,0.002567334
265,0.000287458,0.002747
266,0.000253541,0.002608875
267,0.000247084,0.002735541
268,0.000278458,0.002786334
269,0.000266708,0.002748666
270,0.000288125,0.002805458
271,0.000273459,0.002823167
272,0.000275542,0.002768292
273,0.000277667,0.002745709
274,0.000286458,0.002754333
275,0.000283625,0.002820416
276,0.000260958,0.002793375
277,0.000264834,0.002807333
278,0.000273125,0.002827875
279,0.000259625,0.00286375
280,0.000270792,0.002939792
281,0.000262458,0.002957375
282,0.000278209,0.002950167
283,0.000262709,0.002951625
284,0.000256542,0.002981167
285,0.000274666,0.002993167
286,0.000283834,0.003009041
287,0.000289,0.003030792
288,0.00025925,0.003046042
289,0.000277708,0.003089042
290,0.000277333,0.003095125
291,0.000283709,0.003109625
292,0.000289667,0.003127875
293,0.000293167,0.003155
294,0.000321083,0.003179708
295,0.000273417,0.003193125
296,0.000275833,0.003207583
297,0.000273375,0.003235708
