factor,std,dual,tri,quad
0.0,0.011642374999999983,0.012436374999999944,0.007264041999999971,0.006900707999999978
0.01,0.0031011659999999885,0.0019446249999999221,0.002500874999999958,0.0022949589999999853
0.02,0.0032827910000000626,0.0022483340000000185,0.0026734170000000113,0.0023491670000000964
0.03,0.003196874999999988,0.0020683329999999778,0.002455458999999993,0.0024029579999998996
0.04,0.0020128329999999917,0.0013611669999999965,0.001591166999999949,0.00153304200000004
0.05,0.0023986659999999382,0.0015263329999999353,0.001899499999999943,0.0018254170000000514
0.06,0.0020617920000000067,0.0012477079999999585,0.0014803330000000559,0.0014098750000000049
0.07,0.0017154169999999969,0.0011777499999999774,0.0012736670000000894,0.0012232909999999597
0.08,0.0010393750000000646,0.0007793750000000266,0.0008405000000000218,0.0008765419999999802
0.09,0.0010787919999999396,0.0007717919999999934,0.0008488340000000205,0.0007829580000000558
0.1,0.0012536659999999866,0.0008535419999999849,0.0010128329999999908,0.0009514160000000382
0.11,0.0010353750000000606,0.0007714580000000026,0.0008285420000000432,0.0007914580000000226
0.12,0.001706291000000082,0.0011840419999999963,0.0013785419999999826,0.00125575
0.13,0.0014067089999999505,0.0009762079999999784,0.0010806250000000572,0.001067916000000002
0.14,0.0015405000000000557,0.000979916000000025,0.0012297919999999518,0.001140791999999946
0.15,0.0009689580000000753,0.0007340829999999965,0.0007486249999999472,0.000741624999999968
0.16,0.0007965839999999336,0.000649542000000003,0.0006278330000000221,0.0006126250000000333
0.17,0.0007287910000000064,0.0006019170000000074,0.0006414169999999775,0.0006342500000000584
0.18,0.0008739170000000573,0.0006661669999999953,0.0006876660000000312,0.0006629999999999692
0.19,0.0008696660000000467,0.0007055839999999813,0.0007207079999999033,0.0006529169999999196
0.2,0.000896082999999992,0.0007186249999999728,0.0007138340000000243,0.000715750000000015
0.21,0.0007837080000000496,0.0006204579999999904,0.0006092079999999722,0.0005926670000000467
0.22,0.0008276670000000319,0.0006369170000000146,0.0006297090000000338,0.0006277089999999763
0.23,0.000930208000000099,0.000729624999999956,0.00073020800000001,0.0006904169999999432
0.24,0.0009969170000000416,0.0007391249999999516,0.0008054579999999811,0.0007532500000000386
0.25,0.0006892080000000522,0.000566207999999957,0.0005792500000000311,0.0006002920000000023
0.26,0.0007123749999999873,0.0006105840000000251,0.0005935829999998976,0.0006168749999999612
0.27,0.0008944579999999869,0.0006781659999999246,0.0006926670000000357,0.0006783750000000088
0.28,0.0006819169999999763,0.0005629999999999802,0.0005465000000000053,0.000533291999999963
0.29,0.0007223750000000528,0.0005825419999999637,0.000547749999999958,0.0005540830000000385
0.3,0.000996416,0.0007300000000000084,0.0007503329999999364,0.0007648339999999365
0.31,0.0006786250000000438,0.000549542000000014,0.0005696670000000514,0.0005287499999999667
0.32,0.0007997920000000214,0.0006211250000000001,0.0006445419999999702,0.0006032500000000551
0.33,0.000737625000000075,0.0006027920000000186,0.0005965829999999839,0.000588666000000071
0.34,0.0006439579999999445,0.0005264170000000012,0.0005033340000000219,0.0005162919999999183
0.35,0.0006284579999999984,0.0005182920000000868,0.0004990419999999496,0.0004907499999999843
0.36,0.0006027919999999076,0.000504332999999968,0.00048645800000002293,0.0004830000000000112
0.37,0.0005983750000000398,0.0005312500000000941,0.0005324999999999358,0.0005364589999999891
